Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1.0,Chicago Stags*,48,,1390,4683,0.297,,,,1390,4683,0.297,860,1305,0.659,,,,432,,,,1138,3640
2.0,New York Knicks*,48,,1355,4724,0.287,,,,1355,4724,0.287,868,1291,0.672,,,,376,,,,1076,3578
3.0,Baltimore Bullets*,48,,1288,4283,0.301,,,,1288,4283,0.301,994,1443,0.689,,,,320,,,,1080,3570
4.0,Washington Capitols*,48,,1336,4785,0.279,,,,1336,4785,0.279,865,1203,0.719,,,,305,,,,1084,3537
5.0,Philadelphia Warriors*,48,,1279,4875,0.262,,,,1279,4875,0.262,963,1349,0.714,,,,335,,,,934,3521
6.0,St. Louis Bombers*,48,,1297,4551,0.285,,,,1297,4551,0.285,838,1244,0.674,,,,218,,,,1050,3432
7.0,Providence Steamrollers,48,,1268,4630,0.274,,,,1268,4630,0.274,782,1275,0.613,,,,347,,,,1105,3318
8.0,Boston Celtics*,48,,1241,4323,0.287,,,,1241,4323,0.287,821,1246,0.659,,,,364,,,,1065,3303
