Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1.0,Milwaukee Bucks*,82,19780,3972,7803,0.509,,,,3972,7803,0.509,1766,2379,0.742,,,4344,2249,,,1686,1847,9710
2.0,Boston Celtics,82,19780,3804,8616,0.442,,,,3804,8616,0.442,2000,2648,0.755,,,4833,2052,,,1649,2138,9608
3.0,Cincinnati Royals,82,19830,3805,8374,0.454,,,,3805,8374,0.454,1901,2622,0.725,,,4151,2022,,,1578,2126,9511
4.0,Portland Trail Blazers,82,19755,3721,8562,0.435,,,,3721,8562,0.435,2025,2671,0.758,,,4210,2227,,,1413,2024,9467
5.0,Seattle SuperSonics,82,19730,3664,8034,0.456,,,,3664,8034,0.456,2101,2790,0.753,,,4456,2049,,,1674,1917,9429
6.0,Philadelphia 76ers*,82,19755,3608,8026,0.45,,,,3608,8026,0.45,2199,2967,0.741,,,4437,1976,,,1645,2168,9415
7.0,Los Angeles Lakers*,82,19755,3739,7857,0.476,,,,3739,7857,0.476,1933,2717,0.711,,,4269,2205,,,1600,1709,9411
8.0,Atlanta Hawks*,82,19755,3614,7779,0.465,,,,3614,7779,0.465,2120,2975,0.713,,,4472,1906,,,1800,1958,9348
9.0,Phoenix Suns,82,19780,3503,8021,0.437,,,,3503,8021,0.437,2327,3078,0.756,,,4442,1927,,,1607,2132,9333
10.0,San Diego Rockets,82,19730,3547,8426,0.421,,,,3547,8426,0.421,2188,2921,0.749,,,4686,1921,,,1711,2128,9282
11.0,Baltimore Bullets*,82,19805,3684,8331,0.442,,,,3684,8331,0.442,1886,2500,0.754,,,4550,1772,,,1567,1966,9254
12.0,Chicago Bulls*,82,19755,3460,7660,0.452,,,,3460,7660,0.452,2150,2721,0.79,,,4325,2142,,,1354,1797,9070
13.0,Detroit Pistons,82,19855,3468,7730,0.449,,,,3468,7730,0.449,2093,2808,0.745,,,3923,1696,,,1639,1969,9029
14.0,New York Knicks*,82,19755,3633,8076,0.45,,,,3633,8076,0.45,1760,2377,0.74,,,4075,1779,,,1215,1916,9026
15.0,San Francisco Warriors*,82,19705,3454,7709,0.448,,,,3454,7709,0.448,1875,2468,0.76,,,4643,1893,,,1688,1833,8783
16.0,Buffalo Braves,82,19805,3424,7860,0.436,,,,3424,7860,0.436,1805,2504,0.721,,,4261,1962,,,1764,2232,8653
17.0,Cleveland Cavaliers,82,19680,3299,7778,0.424,,,,3299,7778,0.424,1775,2380,0.746,,,3982,2065,,,1593,2114,8373
